Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P0A908,27795.47595,MltA-interacting protein OS=Escherichia coli (strain K12) GN=mipA PE=1 SV=1,mipA,4811,2791
P0ABD8,16658.41639,Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1,accB,4770,2822
P0A9R4,12304.8297,2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2,fdx,6075,2732
P0ACY1,20028.12237,Putative NAD(P)H nitroreductase ydjA OS=Escherichia coli (strain K12) GN=ydjA PE=1 SV=1,ydjA,1974,2091
P77395,31753.32557,Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2,ybbN,3602,2390
P39173,32627.64631,Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2,yeaD,2536,2454
P0AF12,24320.56199,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1,mtnN,3054,2269
P39831,27213.76185,NADP-dependent 3-hydroxy acid dehydrogenase YdfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2,ydfG,1795,1990
P0ADK0,25628.95569,Uncharacterized protein yiaF OS=Escherichia coli (strain K12) GN=yiaF PE=4 SV=2,yiaF,1785,1153
P0AC59,24316.69694,Glutaredoxin-2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1,grxB,405,943
P76576,22144.4226,UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1,yfgM,2140,1227
P0AFU8,23412.01845,Riboflavin synthase alpha chain OS=Escherichia coli (strain K12) GN=ribE PE=1 SV=1,ribE,1226,1357
P0A8W8,19505.45171,UPF0304 protein yfbU OS=Escherichia coli (strain K12) GN=yfbU PE=1 SV=1,yfbU,1108,1193
P0AF24,27127.68109,Protein nagD OS=Escherichia coli (strain K12) GN=nagD PE=1 SV=1,nagD,1265,1125
P0AAC0,35666.29663,Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2,uspE,847,696
P60651,33517.55834,Agmatinase OS=Escherichia coli (strain K12) GN=speB PE=1 SV=1,speB,2081,994
P00935,41506.48419,Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1,metB,111,716
P0AFM2,35981.90441,Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1,proX,9798,483
P75960,26681.42664,NAD-dependent deacetylase OS=Escherichia coli (strain K12) GN=cobB PE=1 SV=2,cobB,813,769
P12281,44021.5614,Molybdopterin molybdenumtransferase OS=Escherichia coli (strain K12) GN=moeA PE=1 SV=1,moeA,510,676
P0ADF8,11080.60733,Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1,ilvN,279,587
P22255,27140.68135,"3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2",cysQ,578,515
P0ABI8,74300.34181,Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1,cyoB,1101,524
P37760,32655.66505,dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2,rfbD,1283,626
P0A8A0,26387.9,UPF0082 protein yebC OS=Escherichia coli (strain K12) GN=yebC PE=1 SV=1,yebC,1377,699
P07639,38838.30699,3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1,aroB,553,561
P36649,56501.41538,Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2,cueO,118,494
P37665,22165.52748,Inner membrane lipoprotein yiaD OS=Escherichia coli (strain K12) GN=yiaD PE=1 SV=2,yiaD,1891,685
P75838,65592.12147,UPF0142 protein ycaO OS=Escherichia coli (strain K12) GN=ycaO PE=3 SV=2,ycaO,783,507
P0A7Y0,25516.29773,Ribonuclease 3 OS=Escherichia coli (strain K12) GN=rnc PE=1 SV=1,rnc,713,637
P68066,14257.42275,Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) GN=grcA PE=1 SV=1,grcA,2319,641
P42641,43240.69916,GTPase ObgE/CgtA OS=Escherichia coli (strain K12) GN=obgE PE=1 SV=1,obgE,913,468
P45799,21121.78293,ADP compounds hydrolase nudE OS=Escherichia coli (strain K12) GN=nudE PE=1 SV=1,nudE,484,512
P0A9L8,28108.48308,Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) GN=proC PE=1 SV=1,proC,486,439
P30011,32723.94863,Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7,nadC,441,510
P0AFD6,20506.12496,NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1,nuoI,1344,495
P08390,36323.47208,USG-1 protein OS=Escherichia coli (strain K12) GN=usg PE=1 SV=1,usg,439,372
P0ABH0,45283.45163,Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1,ftsA,389,345
P0ADT8,23044.13941,Uncharacterized protein ygiM OS=Escherichia coli (strain K12) GN=ygiM PE=4 SV=1,ygiM,448,348
P0AEN1,26207.32303,NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2,fre,864,457
P0AG80,48400.01535,sn-glycerol-3-phosphate-binding periplasmic protein ugpB OS=Escherichia coli (strain K12) GN=ugpB PE=1 SV=1,ugpB,56,387
P67080,25753.32927,UPF0001 protein yggS OS=Escherichia coli (strain K12) GN=yggS PE=1 SV=1,yggS,587,409
P77444,44387.51743,Cysteine desulfurase OS=Escherichia coli (strain K12) GN=sufS PE=1 SV=1,sufS,134,291
P0A988,40542.71128,DNA polymerase III subunit beta OS=Escherichia coli (strain K12) GN=dnaN PE=1 SV=1,dnaN,520,325
P11458,38198.18573,Quinolinate synthase A OS=Escherichia coli (strain K12) GN=nadA PE=1 SV=3,nadA,34,351
P11880,47399.59944,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2,murF,372,389
P37773,49824.11217,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=mpl PE=1 SV=3,mpl,515,341
P0A8V6,26933.91284,Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2,fadR,568,360
P69874,42982.98678,Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1,potA,345,303
P09053,46662.96822,Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) GN=avtA PE=3 SV=3,avtA,156,385
P0AD12,29643.15127,Protein yeeZ OS=Escherichia coli (strain K12) GN=yeeZ PE=1 SV=1,yeeZ,151,220
P39286,39150.93052,Putative ribosome biogenesis GTPase RsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2,rsgA,315,216
Q46857,31072.23036,"2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) GN=dkgA PE=1 SV=3",dkgA,245,128
P77522,54692.59648,FeS cluster assembly protein sufB OS=Escherichia coli (strain K12) GN=sufB PE=1 SV=2,sufB,55,181
P75863,40600.63921,Uncharacterized protein ycbX OS=Escherichia coli (strain K12) GN=ycbX PE=1 SV=1,ycbX,279,247
P69805,31264.58442,Mannose permease IID component OS=Escherichia coli (strain K12) GN=manZ PE=1 SV=1,manZ,111,111
P39377,41040.22097,Isoaspartyl dipeptidase OS=Escherichia coli (strain K12) GN=iadA PE=1 SV=1,iadA,397,190
P32695,36768.40073,tRNA-dihydrouridine synthase A OS=Escherichia coli (strain K12) GN=dusA PE=3 SV=3,dusA,264,147
P77689,46775.93929,FeS cluster assembly protein sufD OS=Escherichia coli (strain K12) GN=sufD PE=1 SV=1,sufD,29,111
P07913,37196.83116,L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) GN=tdh PE=1 SV=1,tdh,2391,119
P07109,28617.07416,Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2,hisP,18,184
P0A9G8,28245.76234,Transcriptional regulator modE OS=Escherichia coli (strain K12) GN=modE PE=1 SV=1,modE,299,170
P0AAG0,35803.4273,Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1,dppD,85,270
P77258,39474.11065,N-ethylmaleimide reductase OS=Escherichia coli (strain K12) GN=nemA PE=1 SV=1,nemA,216,109
P0AEW6,48400.08147,Inosine-guanosine kinase OS=Escherichia coli (strain K12) GN=gsk PE=1 SV=1,gsk,245,139
P23827,18162.39088,Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1,eco,2141,66
P0AED7,41224.8347,Succinyl-diaminopimelate desuccinylase OS=Escherichia coli (strain K12) GN=dapE PE=1 SV=1,dapE,140,104
P0AAH0,28990.77068,Phosphate import ATP-binding protein PstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2,pstB,155,97
P13979,25997.36477,TraT complement resistance protein OS=Escherichia coli (strain K12) GN=traT PE=3 SV=2,traT,157,100
P18956,61711.22895,Gamma-glutamyltranspeptidase OS=Escherichia coli (strain K12) GN=ggt PE=1 SV=1,ggt,85,30
P08194,50258.70958,Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) GN=glpT PE=1 SV=1,glpT,1000,51
P0A761,24040.45142,Putative N-acetylmannosamine-6-phosphate 2-epimerase OS=Escherichia coli (strain K12) GN=nanE PE=1 SV=1,nanE,2025,49
P76027,37145.94441,Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2,oppD,173,494
P25888,49940.79918,ATP-dependent RNA helicase rhlE OS=Escherichia coli (strain K12) GN=rhlE PE=1 SV=3,rhlE,79,27
P45425,29607.46552,N-acetylmannosamine kinase OS=Escherichia coli (strain K12) GN=nanK PE=1 SV=2,nanK,1094,77
Q47146,89149.78105,Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2,fadE,30,4
P46889,146553.5019,DNA translocase ftsK OS=Escherichia coli (strain K12) GN=ftsK PE=1 SV=2,ftsK,35,14
P29744,34241.85308,Flagellar hook-associated protein 3 OS=Escherichia coli (strain K12) GN=flgL PE=1 SV=2,flgL,370,323
P24216,48409.32918,Flagellar hook-associated protein 2 OS=Escherichia coli (strain K12) GN=fliD PE=1 SV=5,fliD,111,78
P0A996,44061.53167,Anaerobic glycerol-3-phosphate dehydrogenase subunit C OS=Escherichia coli (strain K12) GN=glpC PE=1 SV=1,glpC,199,11
P07330,37425.48368,Chemotaxis response regulator protein-glutamate methylesterase OS=Escherichia coli (strain K12) GN=cheB PE=1 SV=3,cheB,203,104
P0A7U3,10405.70428,30S ribosomal protein S19 OS=Escherichia coli (strain K12) GN=rpsS PE=1 SV=2,rpsS,42645,24670
P0A7F3,17091.87674,Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2,pyrI,349,21227
P0AG86,17248.23475,Protein-export protein SecB OS=Escherichia coli (strain K12) GN=secB PE=1 SV=1,secB,27553,12363
P0ACD4,13821.84619,NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1,nifU,8455,8063
P61949,19706.53052,Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2,fldA,11323,7831
P0A800,10212.37872,DNA-directed RNA polymerase subunit omega OS=Escherichia coli (strain K12) GN=rpoZ PE=1 SV=1,rpoZ,13336,8516
P0A7M9,7847.90539,50S ribosomal protein L31 OS=Escherichia coli (strain K12) GN=rpmE PE=1 SV=1,rpmE,44769,10399
P0AEU7,17659.27147,Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1,skp,11333,9612
P02413,14953.31259,50S ribosomal protein L15 OS=Escherichia coli (strain K12) GN=rplO PE=1 SV=1,rplO,17570,6474
P69222,8226.3118,Translation initiation factor IF-1 OS=Escherichia coli (strain K12) GN=infA PE=1 SV=2,infA,9654,6478
P0A9A9,16766.34053,Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1,fur,7225,4381
P37188,10197.27069,Galactitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=gatB PE=1 SV=2,gatB,12599,3668
P0AFP6,26857.71166,UPF0135 protein ybgI OS=Escherichia coli (strain K12) GN=ybgI PE=1 SV=1,ybgI,3435,3861
P0A9L3,22184.50613,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2,fklB,7089,4033
P0AGD3,21234.51493,Superoxide dismutase [Fe] OS=Escherichia coli (strain K12) GN=sodB PE=1 SV=2,sodB,16898,5516
P0A9M5,16941.77839,Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=gpt PE=1 SV=1,gpt,4071,3100
P0AGE0,18945.23563,Single-stranded DNA-binding protein OS=Escherichia coli (strain K12) GN=ssb PE=1 SV=2,ssb,6952,3740
P69503,19828.64708,Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1,apt,3952,2473
P0A998,19393.38241,Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1,ftnA,5313,2435
P0A734,10210.47912,Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1,minE,3720,1846
P24251,15626.98076,Sigma factor-binding protein crl OS=Escherichia coli (strain K12) GN=crl PE=1 SV=5,crl,240,136
P0AFY8,20284.49411,Protein seqA OS=Escherichia coli (strain K12) GN=seqA PE=1 SV=1,seqA,3387,1887
P31063,14955.68129,Uncharacterized lipoprotein yedD OS=Escherichia coli (strain K12) GN=yedD PE=4 SV=1,yedD,1433,1397
P39199,34961.46662,Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3,yfcB,1142,1111
P65556,20344.90063,Uncharacterized Nudix hydrolase yfcD OS=Escherichia coli (strain K12) GN=yfcD PE=1 SV=1,yfcD,1861,1435
P09158,32282.72207,Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2,speE,725,1276
P27434,36151.39435,Cytoskeleton protein rodZ OS=Escherichia coli (strain K12) GN=rodZ PE=1 SV=2,rodZ,1277,947
P0A6P7,23528.17928,Probable GTP-binding protein engB OS=Escherichia coli (strain K12) GN=engB PE=1 SV=1,engB,1550,1133
P0A6I0,24713.0717,Cytidylate kinase OS=Escherichia coli (strain K12) GN=cmk PE=1 SV=1,cmk,1608,857
P0ACR9,20532.28755,Transcriptional repressor mprA OS=Escherichia coli (strain K12) GN=mprA PE=2 SV=1,mprA,1006,901
P0ABU7,26252.84497,Biopolymer transport protein exbB OS=Escherichia coli (strain K12) GN=exbB PE=1 SV=1,exbB,705,1015
P0AE88,26277.7507,Transcriptional regulatory protein CpxR OS=Escherichia coli (strain K12) GN=cpxR PE=1 SV=1,cpxR,721,715
P0A8H6,19029.67039,Der GTPase-activating protein YihI OS=Escherichia coli (strain K12) GN=yihI PE=1 SV=1,yihI,1168,900
P0A780,15661.27427,N utilization substance protein B OS=Escherichia coli (strain K12) GN=nusB PE=1 SV=1,nusB,1489,898
P0A746,15423.22096,Peptide methionine sulfoxide reductase msrB OS=Escherichia coli (strain K12) GN=msrB PE=1 SV=1,msrB,1094,636
P0A9E5,27931.33827,Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1,fnr,1952,882
P64451,24393.4873,Uncharacterized lipoprotein ydcL OS=Escherichia coli (strain K12) GN=ydcL PE=4 SV=1,ydcL,406,408
P0A7E9,25935.5313,Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2,pyrH,503,660
Q46845,32353.38694,Uncharacterized GST-like protein yghU OS=Escherichia coli (strain K12) GN=yghU PE=1 SV=2,yghU,247,406
P0A7C2,22325.88481,LexA repressor OS=Escherichia coli (strain K12) GN=lexA PE=1 SV=1,lexA,746,602
P28304,35132.52887,Quinone oxidoreductase 1 OS=Escherichia coli (strain K12) GN=qorA PE=1 SV=1,qorA,322,346
P0A9D2,22835.83157,Glutathione S-transferase OS=Escherichia coli (strain K12) GN=gst PE=1 SV=1,gst,354,553
P0AD05,25005.14471,Uncharacterized protein yecA OS=Escherichia coli (strain K12) GN=yecA PE=4 SV=1,yecA,417,542
P69425,18391.55204,Sec-independent protein translocase protein tatB OS=Escherichia coli (strain K12) GN=tatB PE=1 SV=1,tatB,1112,687
P0ABV2,15498.88005,Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1,exbD,478,695
P0AEY5,21858.93304,Modulator of drug activity B OS=Escherichia coli (strain K12) GN=mdaB PE=1 SV=1,mdaB,563,597
P0A8S1,33432.49089,Chromosome initiation inhibitor OS=Escherichia coli (strain K12) GN=iciA PE=1 SV=1,iciA,289,530
P0ADU2,11506.80837,Probable quinol monooxygenase ygiN OS=Escherichia coli (strain K12) GN=ygiN PE=1 SV=1,ygiN,652,589
P39177,15907.2748,Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2,uspG,892,388
P75957,25404.21205,Lipoprotein-releasing system ATP-binding protein LolD OS=Escherichia coli (strain K12) GN=lolD PE=1 SV=2,lolD,636,446
P0A7F9,39388.02367,S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1,queA,607,358
P0A8W5,20654.80682,UPF0301 protein yqgE OS=Escherichia coli (strain K12) GN=yqgE PE=1 SV=1,yqgE,463,340
P33643,37080.22944,Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) GN=rluD PE=1 SV=4,rluD,271,203
P09029,39418.26516,N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) GN=purK PE=1 SV=2,purK,90,298
P37749,37715.06647,Uncharacterized protein yefG OS=Escherichia coli (strain K12) GN=yefG PE=4 SV=1,yefG,598,377
P45395,35155.07892,Arabinose 5-phosphate isomerase OS=Escherichia coli (strain K12) GN=kdsD PE=1 SV=1,kdsD,239,286
P69831,48315.16646,Galactitol permease IIC component OS=Escherichia coli (strain K12) GN=gatC PE=1 SV=1,gatC,10,5
P76055,35520.02369,tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1,ttcA,419,389
P27848,29670.75492,Uncharacterized protein YigL OS=Escherichia coli (strain K12) GN=yigL PE=3 SV=4,yigL,440,312
P0A6S7,36320.64479,Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Escherichia coli (strain K12) GN=gpsA PE=3 SV=1,gpsA,766,302
P07024,60767.7396,Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2,ushA,165,209
P39406,37583.10489,Ribosomal RNA small subunit methyltransferase C OS=Escherichia coli (strain K12) GN=rsmC PE=1 SV=3,rsmC,325,228
P0A8T1,31838.89513,Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1,prmA,413,184
P75823,36453.59645,Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1,ltaE,381,261
P31060,54484.31679,Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) GN=modF PE=3 SV=2,modF,26,189
P15047,26215.26623,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase OS=Escherichia coli (strain K12) GN=entA PE=1 SV=1",entA,41,186
P0AFB8,52204.25517,Nitrogen regulation protein NR(I) OS=Escherichia coli (strain K12) GN=glnG PE=3 SV=1,glnG,95,185
P06983,33812.80201,Porphobilinogen deaminase OS=Escherichia coli (strain K12) GN=hemC PE=1 SV=2,hemC,356,216
P29131,35753.37745,Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3,ftsN,226,147
P0AES0,70469.40032,Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1,gsp,65,144
P24203,35619.19065,Uncharacterized GTP-binding protein YjiA OS=Escherichia coli (strain K12) GN=yjiA PE=1 SV=3,yjiA,286,120
P36548,31374.88364,N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1,amiA,168,105
P0A894,32453.73402,UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1,yhbJ,109,133
P00803,35919.47649,Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2,lepB,129,77
P27828,42199.90669,UDP-N-acetylglucosamine 2-epimerase OS=Escherichia coli (strain K12) GN=wecB PE=1 SV=2,wecB,138,106
P0A821,50557.49581,L-seryl-tRNA(Sec) selenium transferase OS=Escherichia coli (strain K12) GN=selA PE=1 SV=1,selA,33,105
P19926,45635.85628,Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1,agp,505,86
P27829,45791.59224,UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4,wecC,251,93
P69811,39605.51132,Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1,fruB,287,110
P00892,59228.74221,Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3,ilvG,17,63
P07003,61953.54994,Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1,poxB,5,26
P32131,52677.67322,Oxygen-independent coproporphyrinogen-III oxidase OS=Escherichia coli (strain K12) GN=hemN PE=1 SV=4,hemN,114,104
P10378,59057.1205,Enterobactin synthase component E OS=Escherichia coli (strain K12) GN=entE PE=3 SV=3,entE,21,80
P39342,54280.35703,Uncharacterized protein yjgR OS=Escherichia coli (strain K12) GN=yjgR PE=1 SV=1,yjgR,17,30
P0ABB8,99384.84487,"Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli (strain K12) GN=mgtA PE=1 SV=1",mgtA,159,61
P0ABX8,17192.20941,Flagellar protein FliL OS=Escherichia coli (strain K12) GN=fliL PE=3 SV=1,fliL,1131,712
P77552,42831.72841,Uncharacterized protein ydhQ OS=Escherichia coli (strain K12) GN=ydhQ PE=4 SV=1,ydhQ,181,36
P24554,49422.57371,DNA repair protein radA OS=Escherichia coli (strain K12) GN=radA PE=3 SV=1,radA,54,47
P02919,94215.38742,Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2,mrcB,67,39
P69451,62274.45314,Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1,fadD,82,41
P23886,62862.68065,ATP-binding/permease protein CydC OS=Escherichia coli (strain K12) GN=cydC PE=3 SV=2,cydC,81,39
P41409,33783.39389,Pyrimidine-specific ribonucleoside hydrolase rihA OS=Escherichia coli (strain K12) GN=rihA PE=1 SV=2,rihA,692,42
P24202,33481.23996,Mrr restriction system protein OS=Escherichia coli (strain K12) GN=mrr PE=1 SV=1,mrr,111,67
P21169,79347.93229,"Ornithine decarboxylase, constitutive OS=Escherichia coli (strain K12) GN=speC PE=1 SV=2",speC,32,53
P0AC47,27087.16048,Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2,frdB,1009,129
P22564,32521.71177,Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1,rihC,1084,46
P0AE82,51573.93701,Sensor protein CpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1,cpxA,39,33
P0C058,16065.15753,Small heat shock protein ibpB OS=Escherichia coli (strain K12) GN=ibpB PE=1 SV=1,ibpB,540,26
P37617,76773.84377,"Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli (strain K12) GN=zntA PE=1 SV=1",zntA,71,16
