Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
fhlA	b2731	DNA-binding transcriptional activator FhlA	78.468	ECK2726	DNA-binding transcriptional activator FhlA	P19323	PD02936
fhuA	b0150	ferrichrome outer membrane transporter/phage receptor	82.18201	ECK0149	ferrichrome outer membrane transporter/phage receptor	P06971	EG10302-MONOMER
fhuB	b0153	iron(III) hydroxamate ABC transporter membrane subunit	70.423004	ECK0152	iron(III) hydroxamate ABC transporter membrane subunit	P06972	FHUB-MONOMER
fhuC	b0151	iron(III) hydroxamate ABC transporter ATP binding subunit	28.886002	ECK0150	iron(III) hydroxamate ABC transporter ATP binding subunit	P07821	FHUC-MONOMER
fhuD	b0152	iron(III) hydroxamate ABC transporter periplasmic binding protein	32.998	ECK0151	iron(III) hydroxamate ABC transporter periplasmic binding protein	P07822	FHUD-MONOMER
fhuE	b1102	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	81.232	ECK1088	ferric coprogen/ferric rhodotorulic acid outer membrane transporter	P16869	EG10306-MONOMER
fhuF	b4367	ferric-siderophore reductase FhuF	30.113	ECK4357	ferric-siderophore reductase FhuF	P39405	G7949-MONOMER
fic	b3361	putative adenosine monophosphate&mdash;protein transferase Fic	22.960001	ECK3349	putative adenosine monophosphate&mdash;protein transferase Fic	P20605	EG10307-MONOMER
fieF	b3915	Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	32.927002	ECK3907	Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	P69380	YIIP-MONOMER
fimA	b4314	type 1 fimbriae major subunit	18.111	ECK4305	type 1 fimbriae major subunit	P04128	EG10308-MONOMER
fimB	b4312	Type 1 fimbriae regulatory protein FimB	22.993002	ECK4303	Type 1 fimbriae regulatory protein FimB	P0ADH5	EG10309-MONOMER
fimC	b4316	type 1 fimbriae periplasmic chaperone	26.689001	ECK4307	type 1 fimbriae periplasmic chaperone	P31697	EG10310-MONOMER
fimD	b4317	type I fimbriae usher protein	96.482	ECK4308	type I fimbriae usher protein	P30130	EG10311-MONOMER
fimE	b4313	regulator for fimA	23.116001	ECK4304	regulator for fimA	P0ADH7	EG10312-MONOMER
fimF	b4318	type 1 fimbriae minor subunit FimF	18.715	ECK4309	type 1 fimbriae minor subunit FimF	P08189	EG10313-MONOMER
fimG	b4319	type 1 fimbriae minor subunit FimG	17.317001	ECK4310	type 1 fimbriae minor subunit FimG	P08190	EG10314-MONOMER
fimH	b4320	type 1 fimbriae D-mannose specific adhesin	31.473001	ECK4311	type 1 fimbriae D-mannose specific adhesin	P08191	EG10315-MONOMER
fimI	b4315	putative fimbrial protein FimI	19.373001	ECK4306	putative fimbrial protein FimI	P39264	EG11974-MONOMER
fimZ	b0535	LuxR family transcriptional regulator FimZ	23.664001	ECK0528	LuxR family transcriptional regulator FimZ	P0AEL8	EG11103-MONOMER
fis	b3261	DNA-binding transcriptional dual regulator Fis	11.240001	ECK3248	DNA-binding transcriptional dual regulator Fis	P0A6R3	PD00196
fiu	b0805	iron catecholate outer membrane transporter Fiu	81.96001	ECK0794	iron catecholate outer membrane transporter Fiu	P75780	G6414-MONOMER
fixA	b0041	putative electron transfer flavoprotein FixA	27.144001	ECK0042	putative electron transfer flavoprotein FixA	P60566	EG11562-MONOMER
fixB	b0042	putative electron transfer flavoprotein FixB	33.513	ECK0043	putative electron transfer flavoprotein FixB	P31574	EG11563-MONOMER
fixC	b0043	putative oxidoreductase FixC	45.703003	ECK0044	putative oxidoreductase FixC	P68644	EG11564-MONOMER
fixX	b0044	putative ferredoxin FixX	10.479	ECK0045	putative ferredoxin FixX	P68646	EG11565-MONOMER
fklB	b4207	peptidyl-prolyl <i>cis-trans</i> isomerase FklB	22.216002	ECK4203	peptidyl-prolyl <i>cis-trans</i> isomerase FklB	P0A9L3	G7865-MONOMER
fkpA	b3347	peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA	28.882002	ECK3334	peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA	P45523	G7716-MONOMER
fkpB	b0028	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	16.081001	ECK0029	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	P0AEM0	EG11080-MONOMER
fldA	b0684	oxidized flavodoxin 1 // flavodoxin 1	19.736921 // 19.737001	ECK0672	oxidized flavodoxin 1 // flavodoxin 1	P61949	oxidized flavodoxin 1 // flavodoxin 1
fldB	b2895	oxidized flavodoxin 2 // flavodoxin 2	19.70016 // 19.7	ECK2890	oxidized flavodoxin 2 // flavodoxin 2	P0ABY4	oxidized flavodoxin 2 // flavodoxin 2
flgA	b1072	flagellar basal body P-ring formation protein FlgA	23.519001	ECK1057	flagellar basal body P-ring formation protein FlgA	P75933	G357-MONOMER
flgB	b1073	flagellar basal-body rod protein FlgB	15.240001	ECK1058	flagellar basal-body rod protein FlgB	P0ABW9	FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN
flgC	b1074	flagellar basal-body rod protein FlgC	13.968	ECK1059	flagellar basal-body rod protein FlgC	P0ABX2	FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN
flgD	b1075	flagellar biosynthesis, initiation of hook assembly	23.575	ECK1060	flagellar biosynthesis, initiation of hook assembly	P75936	G360-MONOMER
flgE	b1076	flagellar hook protein FlgE	42.045002	ECK1061	flagellar hook protein FlgE	P75937	G361-MONOMER
flgF	b1077	flagellar basal-body rod protein FlgF	25.912	ECK1062	flagellar basal-body rod protein FlgF	P75938	FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN
flgG	b1078	flagellar basal-body rod protein FlgG	27.744001	ECK1063	flagellar basal-body rod protein FlgG	P0ABX5	FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN
flgH	b1079	flagellar L-ring protein	24.615002	ECK1064	flagellar L-ring protein	P0A6S0	FLGH-FLAGELLAR-L-RING
flgI	b1080	flagellar P-ring protein	38.169003	ECK1065	flagellar P-ring protein	P0A6S3	FLGI-FLAGELLAR-P-RING
flgJ	b1081	putative peptidoglycan hydrolase FlgJ	34.475002	ECK1066	putative peptidoglycan hydrolase FlgJ	P75942	G366-MONOMER
flgK	b1082	flagellar hook-filament junction protein 1	57.930004	ECK1067	flagellar hook-filament junction protein 1	P33235	EG11967-MONOMER
flgL	b1083	flagellar hook-filament junction protein 2	34.281002	ECK1068	flagellar hook-filament junction protein 2	P29744	EG11545-MONOMER
flgM	b1071	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	10.341001	ECK1056	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	P0AEM4	G369-MONOMER
flgN	b1070	flagellar biosynthesis protein FlgN	15.867001	ECK1055	flagellar biosynthesis protein FlgN	P43533	G6562-MONOMER
flgO	b4826	small RNA FlgO		ECK4683	small RNA FlgO		RNA0-419
flhA	b1879	flagellar biosynthesis protein FlhA	74.843	ECK1880	flagellar biosynthesis protein FlhA	P76298	G370-MONOMER
flhB	b1880	flagellar biosynthesis protein FlhB	42.238003	ECK1881	flagellar biosynthesis protein FlhB	P76299	G7028-MONOMER
flhC	b1891	DNA-binding transcriptional dual regulator FlhC	21.566002	ECK1892	DNA-binding transcriptional dual regulator FlhC	P0ABY7	MONOMER0-2488
flhD	b1892	DNA-binding transcriptional dual regulator FlhD	13.316001	ECK1893	DNA-binding transcriptional dual regulator FlhD	P0A8S9	EG10320-MONOMER
flhE	b1878	flagellar protein FlhE	14.059001	ECK1879	flagellar protein FlhE	P76297	G7027-MONOMER
fliA	b1922	RNA polymerase sigma factor FliA	27.521002	ECK1921	RNA polymerase sigma factor FliA	P0AEM6	EG11355-MONOMER
fliC	b1923	flagellar filament structural protein	51.295002	ECK1922	flagellar filament structural protein	P04949	EG10321-MONOMER
fliD	b1924	flagellar filament capping protein	48.456	ECK1923	flagellar filament capping protein	P24216	EG10841-MONOMER
fliE	b1937	flagellar protein FliE	11.127001	ECK1935	flagellar protein FliE	P0A8T5	EG11346-MONOMER
fliF	b1938	flagellar basal-body MS-ring and collar protein	60.589005	ECK1936	flagellar basal-body MS-ring and collar protein	P25798	FLIF-FLAGELLAR-MS-RING
fliG	b1939	flagellar motor switch protein FliG	36.776	ECK1937	flagellar motor switch protein FliG	P0ABZ1	FLIG-FLAGELLAR-SWITCH-PROTEIN
fliH	b1940	flagellar biosynthesis protein FliH	25.050001	ECK1938	flagellar biosynthesis protein FliH	P31068	EG11656-MONOMER
fliI	b1941	flagellar export ATPase FliI	49.316	ECK1939	flagellar export ATPase FliI	P52612	G377-MONOMER
fliJ	b1942	flagellar biosynthesis protein FliJ	17.307001	ECK1940	flagellar biosynthesis protein FliJ	P52613	G378-MONOMER
fliK	b1943	flagellar hook-length control protein	39.312	ECK1941	flagellar hook-length control protein	P52614	G379-MONOMER
fliL	b1944	flagellar protein FliL	17.221	ECK1942	flagellar protein FliL	P0ABX8	EG10322-MONOMER
fliM	b1945	flagellar motor switch protein FliM	37.849003	ECK1943	flagellar motor switch protein FliM	P06974	FLIM-FLAGELLAR-C-RING-SWITCH
fliN	b1946	flagellar motor switch protein FliN	14.8550005	ECK1944	flagellar motor switch protein FliN	P15070	FLIN-FLAGELLAR-C-RING-SWITCH
fliO	b1947	flagellar biosynthesis protein FliO	12.670001	ECK1945	flagellar biosynthesis protein FliO	P22586	EG11224-MONOMER
fliP	b1948	flagellar biosynthesis protein FliP	26.928001	ECK1946	flagellar biosynthesis protein FliP	P0AC05	EG11975-MONOMER
fliQ	b1949	flagellar biosynthesis protein FliQ	9.632001	ECK1947	flagellar biosynthesis protein FliQ	P0AC07	EG11976-MONOMER
fliR	b1950	flagellar biosynthesis protein FliR	28.543001	ECK1948	flagellar biosynthesis protein FliR	P33135	EG11977-MONOMER
fliS	b1925	flagellar biosynthesis protein FliS	14.950001	ECK1924	flagellar biosynthesis protein FliS	P26608	EG11388-MONOMER
fliT	b1926	flagellar biosynthesis protein FliT	13.829	ECK1925	flagellar biosynthesis protein FliT	P0ABY2	EG11389-MONOMER
fliX	b4827	small RNA FliX		ECK4684	small RNA FliX		RNA0-420
fliZ	b1921	DNA-binding transcriptional regulator FliZ	21.658	ECK1920	DNA-binding transcriptional regulator FliZ	P52627	EG11356-MONOMER
flk	b2321	putative flagella assembly protein	36.668003	ECK2315	putative flagella assembly protein	P15286	EG10229-MONOMER
flu	b2000	CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter	106.825005	ECK1993	CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter	P39180	G7080-MONOMER
flxA	b1566	Qin prophage; PF14282 family protein FlxA	12.208	ECK1560	Qin prophage; PF14282 family protein FlxA	P77609	G6833-MONOMER
fmt	b3288	10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase	34.168003	ECK3274	10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase	P23882	EG11268-MONOMER
fnr	b1334	DNA-binding transcriptional dual regulator FNR	27.967001	ECK1330	DNA-binding transcriptional dual regulator FNR	P0A9E5	PD00197
fnrS	b4699	small regulatory RNA FnrS		ECK4511	small regulatory RNA FnrS		RNA0-349
focA	b0904	formate channel FocA	30.991001	ECK0895	formate channel FocA	P0AC23	FOCA-MONOMER
focB	b2492	formate channel FocB	30.565	ECK2488	formate channel FocB	P77733	FOCB-MONOMER
folA	b0048	dihydrofolate reductase	17.999	ECK0049	dihydrofolate reductase	P0ABQ4	DIHYDROFOLATEREDUCT-MONOMER
folB	b3058	dihydroneopterin aldolase	13.620001	ECK3048	dihydroneopterin aldolase	P0AC16	H2NEOPTERINALDOL-MONOMER
folC	b2315	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	45.406002	ECK2309	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	P08192	FOLC-MONOMER
folD	b0529	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	31.044	ECK0522	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	P24186	FOLD-MONOMER
folE	b2153	GTP cyclohydrolase 1	24.831001	ECK2146	GTP cyclohydrolase 1	P0A6T5	GTP-CYCLOHYDRO-I-MONOMER
folK	b0142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	18.079	ECK0141	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	P26281	H2PTERIDINEPYROPHOSPHOKIN-MONOMER
folM	b1606	dihydromonapterin reductase	26.348001	ECK1601	dihydromonapterin reductase	P0AFS3	G6862-MONOMER
folP	b3177	dihydropteroate synthase	30.615002	ECK3166	dihydropteroate synthase	P0AC13	H2PTEROATESYNTH-MONOMER
folX	b2303	dihydroneopterin triphosphate 2'-epimerase	14.082001	ECK2297	dihydroneopterin triphosphate 2'-epimerase	P0AC19	H2NTPEPIM-MONOMER
fpr	b3924	flavodoxin/ferredoxin-NADP<sup>+</sup> reductase	27.751001	ECK3916	flavodoxin/ferredoxin-NADP<sup>+</sup> reductase	P28861	FLAVONADPREDUCT-MONOMER
frc	b2374	formyl-CoA transferase	45.828003	ECK2370	formyl-CoA transferase	P69902	G7237-MONOMER
frdA	b4154	fumarate reductase flavoprotein subunit	65.972	ECK4150	fumarate reductase flavoprotein subunit	P00363	FUM-FLAVO
frdB	b4153	fumarate reductase iron-sulfur protein	27.123001	ECK4149	fumarate reductase iron-sulfur protein	P0AC47	FUM-FE-S
frdC	b4152	fumarate reductase membrane protein FrdC	15.015	ECK4148	fumarate reductase membrane protein FrdC	P0A8Q0	FUM-MEMB1
frdD	b4151	fumarate reductase membrane protein FrdD	13.107	ECK4147	fumarate reductase membrane protein FrdD	P0A8Q3	FUM-MEMB2
fre	b3844	NAD(P)H-flavin reductase	26.242	ECK3836	NAD(P)H-flavin reductase	P0AEN1	FMNREDUCT-MONOMER
frlA	b3370	fructoselysine/psicoselysine transporter	47.577003	ECK3358	fructoselysine/psicoselysine transporter	P45539	YHFM-MONOMER
frlB	b3371	fructoselysine 6-phosphate deglycase	38.569	ECK3359	fructoselysine 6-phosphate deglycase	P0AC00	G7723-MONOMER
frlC	b4474	fructoselysine 3-epimerase	31.169	ECK3360	fructoselysine 3-epimerase	P45541	G7724-MONOMER
frlD	b3374	fructoselysine 6-kinase	28.332	ECK3361	fructoselysine 6-kinase	P45543	G7726-MONOMER
frlR	b3375	DNA-binding transcriptional regulator FrlR	27.821001	ECK3362	DNA-binding transcriptional regulator FrlR	P45544	G7727-MONOMER
frmA	b0356	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase	39.359	ECK0353	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase	P25437	ADHC-MONOMER
frmB	b0355	<i>S</i>-formylglutathione hydrolase FrmB	31.424002	ECK0352	<i>S</i>-formylglutathione hydrolase FrmB	P51025	G6208-MONOMER
frmR	b0357	DNA-binding transcriptional repressor FrmR	10.318001	ECK0354	DNA-binding transcriptional repressor FrmR	P0AAP3	G6209-MONOMER
frr	b0172	ribosome-recycling factor	20.639002	ECK0171	ribosome-recycling factor	P0A805	EG10335-MONOMER
frsA	b0239	fermentation-respiration switch protein	47.009003	ECK0240	fermentation-respiration switch protein	P04335	EG11091-MONOMER
fruA	b2167	fructose-specific PTS multiphosphoryl transfer protein FruA	57.519	ECK2160	fructose-specific PTS multiphosphoryl transfer protein FruA	P20966	FRUA-MONOMER
fruB	b2169	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	39.648003	ECK2162	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB	P69811	FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB
fruK	b2168	1-phosphofructokinase	33.756	ECK2161	1-phosphofructokinase	P0AEW9	1-PFK-MONOMER
frvA	b3900	putative PTS enzyme IIA component FrvA	16.093	ECK3893	putative PTS enzyme IIA component FrvA	P32155	FRVA-MONOMER
frvB	b3899	putative PTS enzyme IIBC component FrvB	51.120003	ECK3892	putative PTS enzyme IIBC component FrvB	P32154	FRVB-MONOMER
frvR	b3897	putative DNA-binding transcriptional regulator FrvR	66.0	ECK3890	putative DNA-binding transcriptional regulator FrvR	P32152	EG11861-MONOMER
frvX	b3898	peptidase M42 family protein FrvX	38.733	ECK3891	peptidase M42 family protein FrvX	P32153	EG11862-MONOMER
frwB	b3950	putative PTS enzyme IIB component FrwB	11.248	ECK3941	putative PTS enzyme IIB component FrwB	P69816	FRWB-MONOMER
frwC	b3949	putative PTS enzyme IIC component FrwC	37.086002	ECK3940	putative PTS enzyme IIC component FrwC	P32672	FRWC-MONOMER
frwD	b3953	putative PTS enzyme IIB component FrwD	12.637001	ECK3944	putative PTS enzyme IIB component FrwD	P32676	EG11912-MONOMER
fryA	b2383	putative PTS multiphosphoryl transfer protein FryA	92.130005	ECK2379	putative PTS multiphosphoryl transfer protein FryA	P77439	G7246-MONOMER
fryB	b2387	putative PTS enzyme IIB component FryB	11.735001	ECK2383	putative PTS enzyme IIB component FryB	P69808	G7250-MONOMER
fryC	b2386	putative PTS enzyme IIC component FryC	43.966003	ECK2382	putative PTS enzyme IIC component FryC	P77579	MONOMER0-6
fsaA	b0825	fructose-6-phosphate aldolase 1	22.997002	ECK0815	fructose-6-phosphate aldolase 1	P78055	G6428-MONOMER
fsaB	b3946	fructose-6-phosphate aldolase 2	23.555	ECK3938	fructose-6-phosphate aldolase 2	P32669	EG11905-MONOMER
fsr	b0479	fosmidomycin efflux pump	43.306004	ECK0473	fosmidomycin efflux pump	P52067	FSR-MONOMER
ftnA	b1905	ferritin iron storage protein	19.424002	ECK1904	ferritin iron storage protein	P0A998	EG10921-MONOMER
ftnB	b1902	putative ferritin-like protein	18.894001	ECK1900	putative ferritin-like protein	P0A9A2	G7033-MONOMER
ftp	b2214	FAD:protein FMN transferase	38.549004	ECK2206	FAD:protein FMN transferase	P0AB85	EG12073-MONOMER
ftsA	b0094	cell division protein FtsA	45.33	ECK0095	cell division protein FtsA	P0ABH0	EG10339-MONOMER
ftsB	b2748	cell division protein FtsB	11.622001	ECK2743	cell division protein FtsB	P0A6S5	G7424-MONOMER
ftsE	b3463	cell division protein FtsE	24.439001	ECK3447	cell division protein FtsE	P0A9R7	FTSE-MONOMER
ftsH	b3178	ATP-dependent zinc metalloprotease FtsH	70.708	ECK3167	ATP-dependent zinc metalloprotease FtsH	P0AAI3	EG11506-MONOMER
ftsI	b0084	peptidoglycan DD-transpeptidase FtsI	63.877003	ECK0085	peptidoglycan DD-transpeptidase FtsI	P0AD68	EG10341-MONOMER
ftsK	b0890	cell division DNA translocase FtsK	146.662	ECK0881	cell division DNA translocase FtsK	P46889	G6464-MONOMER
ftsL	b0083	cell division protein FtsL	13.627001	ECK0084	cell division protein FtsL	P0AEN4	EG11086-MONOMER
ftsN	b3933	cell division protein FtsN	35.793003	ECK3925	cell division protein FtsN	P29131	EG11529-MONOMER
ftsO	b4810	small regulatory RNA FtsO		ECK4667	small regulatory RNA FtsO		RNA0-413
ftsP	b3017	cell division protein FtsP	51.858	ECK3008	cell division protein FtsP	P26648	EG11376-MONOMER
ftsQ	b0093	cell division protein FtsQ	31.434002	ECK0094	cell division protein FtsQ	P06136	EG10342-MONOMER
ftsW	b0089	peptidoglycan glycosyltransferase FtsW	45.987003	ECK0090	peptidoglycan glycosyltransferase FtsW	P0ABG4	EG10344-MONOMER
ftsX	b3462	cell division protein FtsX	38.544003	ECK3446	cell division protein FtsX	P0AC30	FTSX-MONOMER
ftsY	b3464	signal recognition particle receptor	54.513004	ECK3448	signal recognition particle receptor	P10121	EG10346-MONOMER
ftsZ	b0095	cell division protein FtsZ	40.324	ECK0096	cell division protein FtsZ	P0A9A6	EG10347-MONOMER
fucA	b2800	L-fuculose-phosphate aldolase	23.775002	ECK2795	L-fuculose-phosphate aldolase	P0AB87	FUCPALDOL-MONOMER
fucI	b2802	L-fucose isomerase	64.977005	ECK2797	L-fucose isomerase	P69922	FUCISOM-MONOMER
fucK	b2803	L-fuculokinase	52.259003	ECK2798	L-fuculokinase	P11553	FUCULOKIN-MONOMER
fucO	b2799	L-1,2-propanediol oxidoreductase	40.513	ECK2794	L-1,2-propanediol oxidoreductase	P0A9S1	LACTALDREDUCT-MONOMER
fucP	b2801	L-fucose:H+ symporter	47.545002	ECK2796	L-fucose:H+ symporter	P11551	FUCP-MONOMER
fucR	b2805	DNA-binding transcriptional activator FucR	27.362001	ECK2800	DNA-binding transcriptional activator FucR	P0ACK8	PD00444
fucU	b2804	L-fucose mutarotase	15.473001	ECK2799	L-fucose mutarotase	P0AEN8	EG10355-MONOMER
fumA	b1612	fumarase A	60.299004	ECK1607	fumarase A	P0AC33	FUMA-MONOMER
fumB	b4122	fumarase B	60.105003	ECK4115	fumarase B	P14407	FUMB-MONOMER
fumC	b1611	fumarase C	50.489002	ECK1606	fumarase C	P05042	FUMC-MONOMER
fumD	b1675	fumarase D	7.9070005	ECK1671	fumarase D	P0ACX5	G6903-MONOMER
fumE	b2929	fumarase E	19.272001	ECK2925	fumarase E	P11663	EG11162-MONOMER
fur	b0683	DNA-binding transcriptional dual regulator Fur	16.795	ECK0671	DNA-binding transcriptional dual regulator Fur	P0A9A9	PD00260
fusA	b3340	elongation factor G	77.581	ECK3327	elongation factor G	P0A6M8	EG10360-MONOMER
fxsA	b4140	protein FxsA	17.692001	ECK4134	protein FxsA	P37147	G7832-MONOMER
G0-10706		small RNA			small RNA		RNA0-368
gabD	b2661	succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD	51.72	ECK2655	succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD	P25526	SUCCSEMIALDDEHYDROG-MONOMER
gabP	b2663	4-aminobutanoate:H<sup>+</sup> symporter	51.08	ECK2657	4-aminobutanoate:H<sup>+</sup> symporter	P25527	GABP-MONOMER
gabT	b2662	4-aminobutyrate aminotransferase GabT	45.775	ECK2656	4-aminobutyrate aminotransferase GabT	P22256	GABATRANSAM-MONOMER
gadA	b3517	glutamate decarboxylase A	52.685	ECK3502	glutamate decarboxylase A	P69908	GLUTDECARBOXA-MONOMER
gadB	b1493	glutamate decarboxylase B	52.668003	ECK1487	glutamate decarboxylase B	P69910	GLUTDECARBOXB-MONOMER
gadC	b1492	L-glutamate:4-aminobutyrate antiporter	55.077003	ECK1486	L-glutamate:4-aminobutyrate antiporter	P63235	XASA-MONOMER
